09/09/2006,174.50,,0,
09/10/2006,173.50,,0,
09/11/2006,174.00,,0,
09/12/2006,175.00,,0,
09/13/2006,176.00,,0,
09/14/2006,176.50,,0,
09/15/2006,178.00,,0,
09/16/2006,177.50,,0,
09/17/2006,175.00,,0,
09/18/2006,175.50,,0,Steelers
09/19/2006,175.50,,0,NewInTown
09/20/2006,175.50,,0,
09/21/2006,176.00,,0,
09/22/2006,177.00,,0,
09/23/2006,176.00,,0,
09/24/2006,175.00,,0,
09/25/2006,177.00,,0,
09/26/2006,176.00,,1,Stairs
09/27/2006,173.50,,0,
09/28/2006,173.00,,0,
09/29/2006,175.00,,0,
09/30/2006,176.50,,1,
10/01/2006,175.00,,0,
10/02/2006,176.00,,0,
10/03/2006,177.00,,0,
10/04/2006,175.50,,0,
10/05/2006,175.50,,0,Sick day
10/06/2006,177.00,,0,
10/07/2006,173.50,,0,
10/08/2006,175.00,,0,
10/09/2006,176.50,,0,
10/10/2006,177.50,,0,
10/11/2006,176.00,,0,
10/12/2006,176.50,,0,
10/13/2006,180.00,,0,
10/14/2006,176.50,,0,
10/15/2006,177.50,,0,
10/16/2006,176.00,,0,
10/17/2006,178.50,,0,
10/18/2006,176.00,,0,
10/19/2006,178.00,,0,
10/20/2006,178.50,,0,
10/21/2006,179.00,,0,
10/22/2006,178.00,,0,
10/23/2006,181.00,,0,Turkish bat
10/24/2006,177.50,,0,
10/25/2006,176.00,,0,
10/26/2006,178.50,,0,
10/27/2006,178.50,,0,
10/28/2006,178.50,,0,
10/29/2006,178.50,,0,
10/30/2006,181.00,,0,
10/31/2006,181.00,,0,
11/01/2006,181.50,,0,
11/02/2006,182.50,,0,
11/03/2006,183.50,,0,
11/06/2006,181.50,,0,
11/07/2006,181.00,,0,
11/08/2006,180.00,,0,
11/09/2006,181.50,,0,
11/10/2006,181.00,,0,
11/11/2006,177.50,,0,After run
11/13/2006,181.00,,0,
11/14/2006,181.00,,0,
11/15/2006,179.50,,0,
11/16/2006,183.00,,0,
11/17/2006,180.00,,0,
11/18/2006,181.00,,0,
11/19/2006,179.50,,0,
11/20/2006,178.00,,0,
11/21/2006,178.50,,0,
11/22/2006,179.50,,0,
11/26/2006,177.00,,0,
11/27/2006,179.00,,0,
11/28/2006,179.00,,0,
11/29/2006,180.00,,0,
11/30/2006,179.00,,0,
12/02/2006,181.00,,0,
12/03/2006,179.00,,0,
12/04/2006,176.50,,0,
12/05/2006,177.00,,0,
12/06/2006,178.00,,0,
12/07/2006,176.50,,0,
12/08/2006,179.50,,0,
12/09/2006,177.50,,1,
12/10/2006,176.50,,0,
12/11/2006,178.00,,0,
12/12/2006,178.50,,0,
12/13/2006,179.00,,0,
12/14/2006,177.50,,0,
12/15/2006,179.50,,0,
12/16/2006,179.00,,0,
12/18/2006,178.00,,0,
12/19/2006,179.00,,0,
12/20/2006,179.00,,0,
12/21/2006,179.50,,0,
12/31/2006,180.50,,0,
01/01/2007,178.50,,0,
01/02/2007,180.00,,0,
01/03/2007,180.50,,0,
01/04/2007,181.50,,0,
01/05/2007,179.50,,0,
01/06/2007,179.50,,0,
01/07/2007,180.50,,1,
01/08/2007,180.00,,0,
01/09/2007,181.50,,1,
01/10/2007,181.00,,1,
01/11/2007,181.00,,0,
01/15/2007,176.50,,0,
01/16/2007,177.00,,0,
01/17/2007,178.50,,0,
01/18/2007,179.00,,0,
01/19/2007,178.50,,0,
01/20/2007,177.50,,0,
01/22/2007,179.00,,0,
01/23/2007,178.50,,0,
01/24/2007,177.00,,0,
01/25/2007,176.50,,0,
01/26/2007,176.50,,0,
01/27/2007,177.00,,0,
01/28/2007,176.00,,0,
01/29/2007,177.00,,1,Stepper
01/30/2007,177.00,,1,
01/31/2007,177.50,,1,
02/01/2007,178.00,,1,
02/02/2007,179.50,,0,
02/03/2007,178.50,,1,Fast
02/04/2007,175.50,,1,
02/05/2007,177.00,,1,
02/06/2007,175.50,,1,
02/07/2007,175.50,,0,
02/08/2007,175.50,,0,
02/09/2007,174.50,,1,
02/10/2007,175.50,,1,
02/11/2007,175.00,,1,
02/12/2007,175.50,,0,
02/13/2007,176.00,,0,
02/14/2007,176.50,,0,
02/15/2007,175.00,,0,
02/16/2007,174.00,,0,
02/17/2007,175.50,,0,
02/18/2007,178.50,,0,
02/19/2007,177.00,,0,
02/20/2007,176.00,,0,
02/21/2007,174.50,,0,
02/22/2007,175.00,,0,
02/23/2007,178.50,,0,
02/24/2007,176.00,,0,
02/26/2007,176.00,,0,
02/27/2007,175.00,,0,Sick day
02/28/2007,174.50,,0,Sick day
03/01/2007,176.00,,0,
03/02/2007,175.50,,0,
03/03/2007,175.50,,0,
03/04/2007,175.00,,0,
03/05/2007,176.50,,0,
03/06/2007,177.00,,0,
03/07/2007,177.50,,0,
